# Recording: 0-reuse
# Run: 10 of 10
# Exported: 2026-06-07T01:29:07.640Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 24 segments
# Texture Reuse Rate: 1
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 96.1 / 38 / 115
# Render ms: 367.842 / 17.300 / 657.100
# TextureGen ms: 8.868 / 1.200 / 15.300
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 41
# Total Chunks Generated: 6
#
# Object Slots:
#   tree/0: algorithm=wood seed=N/A
#   tree/1: algorithm=none seed=N/A
#   pine/0: algorithm=wood seed=N/A
#   pine/1: algorithm=none seed=N/A
#   rock/0: algorithm=perlin seed=N/A
#   rock/1: algorithm=none seed=N/A
#   cactus/0: algorithm=none seed=N/A
#   cactus/1: algorithm=none seed=N/A
#   bush/0: algorithm=simplex seed=N/A
#   bush/1: algorithm=none seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,83.0,3243,14.600,3243,0.000,3243,31.900,4266
1,49.0,4266,2.000,4266,0.100,15220,507.500,4760
2,38.0,4775,14.600,4760,0.000,17981,17.300,5747
3,98.0,5276,14.400,5747,0.100,39261,534.200,7211
4,90.0,5776,1.300,7211,0.000,40581,310.400,8332
5,102.0,6286,1.900,8332,0.100,59373,482.900,9839
6,98.0,7211,1.300,9839,,,28.800,11295
7,96.0,7717,14.800,11295,,,25.600,12594
8,93.0,8332,14.600,12594,,,472.200,13849
9,97.0,8834,1.200,13849,,,498.300,15220
10,88.0,9345,14.900,15220,,,430.300,16486
11,67.0,9856,2.100,16486,,,596.400,17981
12,92.0,10365,14.600,17981,,,27.400,19193
13,83.0,11295,14.500,19193,,,27.600,20601
14,95.0,11826,14.200,20601,,,392.200,21817
15,110.0,12594,1.400,21817,,,477.500,23238
16,100.0,13096,1.200,23238,,,443.000,24551
17,85.0,13849,1.300,24551,,,637.000,26064
18,98.0,14346,14.400,26064,,,424.900,27197
19,96.0,15220,1.900,27197,,,507.400,28615
20,115.0,15721,14.400,28615,,,422.800,29874
21,109.0,16486,14.700,29874,,,478.400,31267
22,104.0,16978,2.100,31267,,,440.100,32580
23,96.0,17981,1.200,32580,,,657.100,34133
24,98.0,18480,14.600,34133,,,25.600,35260
25,97.0,19193,2.000,37884,,,530.400,36691
26,98.0,19690,14.600,39261,,,389.400,37884
27,100.0,20601,1.400,40581,,,436.000,39261
28,90.0,21817,14.200,42058,,,421.700,40581
29,98.0,22327,15.100,43333,,,562.800,42058
30,100.0,23238,14.600,44597,,,505.400,43333
31,99.0,23743,1.300,45978,,,437.300,44597
32,96.0,24551,14.400,47364,,,485.100,45978
33,100.0,25049,14.700,48622,,,536.700,47364
34,97.0,26064,15.300,51295,,,462.300,48622
35,103.0,26558,1.200,52676,,,593.300,50087
36,98.0,27197,1.400,53969,,,24.600,51295
37,99.0,27707,14.800,55360,,,25.700,52676
38,91.0,28615,1.200,56679,,,447.100,53969
39,114.0,29112,14.400,58050,,,507.500,55360
40,103.0,29874,14.800,59373,,,28.600,56679
41,102.0,30375,,,,,26.500,58050
42,101.0,31267,,,,,500.000,59373
43,80.0,32580,,,,,,
44,99.0,33075,,,,,,
45,100.0,34133,,,,,,
46,87.0,35260,,,,,,
47,101.0,35760,,,,,,
48,100.0,36691,,,,,,
49,99.0,37193,,,,,,
50,97.0,37884,,,,,,
51,101.0,38395,,,,,,
52,99.0,39261,,,,,,
53,101.0,39765,,,,,,
54,95.0,40581,,,,,,
55,101.0,41077,,,,,,
56,103.0,42058,,,,,,
57,102.0,42558,,,,,,
58,95.0,43333,,,,,,
59,101.0,43834,,,,,,
60,95.0,44597,,,,,,
61,103.0,45102,,,,,,
62,99.0,45978,,,,,,
63,101.0,46479,,,,,,
64,97.0,47364,,,,,,
65,101.0,47859,,,,,,
66,100.0,48622,,,,,,
67,96.0,49119,,,,,,
68,99.0,50087,,,,,,
69,100.0,50583,,,,,,
70,94.0,51295,,,,,,
71,101.0,51795,,,,,,
72,94.0,52676,,,,,,
73,98.0,53175,,,,,,
74,93.0,53969,,,,,,
75,100.0,54471,,,,,,
76,95.0,55360,,,,,,
77,96.0,55865,,,,,,
78,93.0,56679,,,,,,
79,100.0,57181,,,,,,
80,99.0,58050,,,,,,
81,100.0,58559,,,,,,
82,98.0,59373,,,,,,
83,94.0,59877,,,,,,
