# Aggregate across 10 run(s) for config: 0-reuse
# Exported: 2026-06-07T22:43:15.514Z
#
Run,FPS_avg,FPS_min,FPS_max,Render_avg_ms,TextureGen_avg_ms,ChunkGen_avg_ms,TexturesGenerated,ChunksGenerated
1,95.9,24,117,301.217,9.307,0.044,41,9
2,112.6,25,118,195.513,9.913,0.044,38,9
3,111.5,20,118,234.077,9.733,0.054,39,13
4,111.8,20,118,215.279,9.692,0.053,36,15
5,109.7,25,118,179.690,9.795,0.040,40,5
6,107.2,25,117,243.567,9.224,0.040,38,5
7,110.0,24,117,253.849,9.051,0.050,37,14
8,111.1,22,118,189.590,9.835,0.040,40,5
9,111.1,22,118,121.797,9.211,0.050,38,6
10,111.2,22,118,236.342,9.500,0.044,40,9
MEAN,109.2,,,217.092,9.526,0.046,39,9
