# Recording: worley
# Run: 6 of 10
# Exported: 2026-06-07T01:44:40.314Z
# Duration: 60.0 s
# World Seed: 12345
# View Distance: 3
# Terrain Quality: 32 segments
# Texture Reuse Rate: 3
# Terrain Algorithm: none
# Terrain Shader Seed: N/A
# Camera Height: 50
# Camera Distance: 60
# Camera Azimuth: 0.0000 rad
# Camera Polar: 1.0472 rad
#
# --- Summary (avg / min / max) ---
# FPS: 111.7 / 21 / 118
# Render ms: 342.017 / 13.600 / 629.100
# TextureGen ms: 4.713 / 4.500 / 5.700
# ChunkGen ms: 0.050 / 0.000 / 0.100
# Total Textures Generated: 38
# Total Chunks Generated: 12
#
# Object Slots:
#   tree/0: algorithm=worley seed=N/A
#   tree/1: algorithm=worley seed=N/A
#   pine/0: algorithm=worley seed=N/A
#   pine/1: algorithm=worley seed=N/A
#   rock/0: algorithm=worley seed=N/A
#   rock/1: algorithm=worley seed=N/A
#   cactus/0: algorithm=worley seed=N/A
#   cactus/1: algorithm=worley seed=N/A
#   bush/0: algorithm=worley seed=N/A
#   bush/1: algorithm=worley seed=N/A
#
Sample,FPS,FPS_Timestamp_ms,TextureGen_ms,TextureGen_Timestamp_ms,ChunkGen_ms,ChunkGen_Timestamp_ms,Render_ms,Render_Timestamp_ms
0,90.0,3481,4.600,3481,0.100,3481,16.000,4613
1,29.0,4613,4.500,4613,0.000,4613,25.500,5844
2,21.0,5157,4.600,5157,0.100,16618,22.900,7283
3,102.0,5844,4.800,5844,0.000,17985,22.400,8396
4,117.0,6339,4.700,7283,0.100,21903,522.300,9891
5,116.0,8893,4.800,8396,0.000,24642,629.100,11339
6,118.0,9891,4.700,9891,0.100,27299,22.500,12654
7,117.0,10387,4.800,15303,0.000,28674,499.600,13881
8,115.0,12654,4.600,16618,0.100,35320,580.800,15303
9,117.0,13158,4.800,17985,0.000,36728,14.700,16618
10,116.0,13881,4.700,20650,0.100,50057,15.900,17985
11,115.0,14378,4.600,21903,0.000,51380,20.700,19282
12,118.0,15303,4.700,23282,,,581.200,20650
13,117.0,15801,4.800,24642,,,20.000,21903
14,116.0,16618,4.600,26021,,,14.700,23282
15,117.0,18483,4.700,27299,,,551.100,24642
16,116.0,22399,4.600,28674,,,21.400,26021
17,117.0,23282,4.800,29981,,,529.000,27299
18,115.0,26516,4.600,31352,,,562.200,28674
19,117.0,27299,4.900,32664,,,13.900,29981
20,116.0,29981,4.700,34032,,,574.600,31352
21,117.0,30481,4.600,35320,,,546.700,32664
22,116.0,32664,4.800,36728,,,581.900,34032
23,117.0,33161,4.800,39305,,,529.900,35320
24,115.0,34529,4.700,40705,,,15.500,36728
25,117.0,35320,4.500,41990,,,13.600,38004
26,116.0,37230,5.700,43413,,,508.100,39305
27,117.0,38501,4.600,44648,,,574.700,40705
28,115.0,39807,4.600,46078,,,524.000,41990
29,117.0,40705,4.700,47429,,,601.400,43413
30,118.0,42488,4.700,50057,,,497.000,44648
31,117.0,43413,4.700,51380,,,593.700,46078
32,116.0,43912,4.600,52736,,,15.200,47429
33,117.0,45148,4.800,54046,,,565.900,48724
34,118.0,46078,4.600,55450,,,559.700,50057
35,117.0,46578,4.600,56776,,,541.800,51380
36,116.0,47429,4.700,58054,,,565.000,52736
37,117.0,47926,4.800,59479,,,19.300,54046
38,116.0,48724,,,,,605.100,55450
39,117.0,49224,,,,,598.700,56776
40,116.0,50558,,,,,19.600,58054
41,117.0,51380,,,,,627.400,59479
42,116.0,55945,,,,,,
43,117.0,57272,,,,,,
44,116.0,58054,,,,,,
45,117.0,58549,,,,,,
