# Aggregate summary for config: vd-1
# Runs: 10
# Exported: 2026-06-07T00:56:49.168Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,119.5,118,120,22.875,0.000,0.045,0,11,60.0
2,119.4,118,120,23.293,0.000,0.047,0,15,60.0
3,116.5,102,120,25.179,0.000,0.055,0,11,60.0
4,104.4,99,117,27.225,0.000,0.050,0,12,60.0
5,104.5,99,116,27.341,0.000,0.044,0,9,60.0
6,103.3,99,108,28.304,0.000,0.056,0,9,60.0
7,105.9,96,120,27.532,0.000,0.045,0,11,60.0
8,110.3,99,120,27.976,0.000,0.043,0,7,60.0
9,103.0,99,107,28.624,0.000,0.040,0,5,60.0
10,104.8,100,117,27.173,0.000,0.040,0,5,60.0
AVERAGE,109.2,103,117,26.552,0.000,0.046,0,10,60.0
