# Aggregate summary for config: vd-5
# Runs: 10
# Exported: 2026-06-07T00:36:24.993Z
#
Run,FPS_Avg,FPS_Min,FPS_Max,Render_Avg_ms,TextureGen_Avg_ms,ChunkGen_Avg_ms,TexturesGenerated,ChunksGenerated,Duration_s
1,82.4,63,117,56.833,0.000,0.040,0,5,60.0
2,81.6,62,107,54.753,0.000,0.060,0,15,60.0
3,89.0,64,119,53.540,0.000,0.046,0,13,60.0
4,83.5,65,114,57.629,0.000,0.045,0,11,60.0
5,83.1,64,108,55.793,0.000,0.050,0,10,60.0
6,82.4,65,107,53.720,0.000,0.050,0,10,60.0
7,80.0,50,106,57.124,0.000,0.050,0,8,60.0
8,96.2,64,119,45.109,0.000,0.050,0,10,60.0
9,93.0,58,118,49.564,0.000,0.000,0,1,60.0
10,112.0,101,120,41.960,0.000,0.050,0,12,60.0
AVERAGE,88.3,66,114,52.603,0.000,0.044,0,10,60.0
