file,avg_fps,min_fps,max_fps,avg_render_ms,avg_texture_gen_ms,avg_chunk_gen_ms,total_textures_generated,total_chunks_generated,folder,config_type
run-09.csv,112.43396226415095,21.0,118.0,384.83170731707315,4.743243243243243,0.05,37.0,8.0,checkpoint-01-worley-10runs,worley
run-10.csv,111.72413793103448,23.0,118.0,381.97142857142853,4.752777777777777,0.04,36.0,5.0,checkpoint-01-worley-10runs,worley
run-01.csv,97.71818181818182,84.0,119.0,93.84,6.25,0.1,44.0,8.0,checkpoint-02-25-reuse-10runs,25-reuse
run-02.csv,97.30555555555556,61.0,120.0,91.42272727272727,7.822727272727272,0.05,44.0,8.0,checkpoint-02-25-reuse-10runs,25-reuse
run-03.csv,110.39252336448598,80.0,120.0,74.28181818181818,8.023255813953488,0.044444444444444446,43.0,9.0,checkpoint-02-25-reuse-10runs,25-reuse
run-04.csv,100.69158878504673,78.0,120.0,96.04772727272729,7.470454545454545,0.044444444444444446,44.0,9.0,checkpoint-02-25-reuse-10runs,25-reuse
run-05.csv,106.43362831858407,43.0,120.0,80.34772727272727,7.527272727272727,0.044444444444444446,44.0,9.0,checkpoint-02-25-reuse-10runs,25-reuse
run-06.csv,115.08910891089108,80.0,120.0,78.94090909090909,7.788636363636363,0.08181818181818182,44.0,11.0,checkpoint-02-25-reuse-10runs,25-reuse
run-07.csv,108.19642857142857,80.0,120.0,93.03863636363636,7.702222222222223,0.04,45.0,5.0,checkpoint-02-25-reuse-10runs,25-reuse
run-08.csv,115.10714285714286,80.0,120.0,57.05833333333334,8.075000000000001,0.04,24.0,5.0,checkpoint-02-25-reuse-10runs,25-reuse
run-09.csv,109.04411764705883,89.0,120.0,76.04999999999998,9.557692307692308,0.04,26.0,5.0,checkpoint-02-25-reuse-10runs,25-reuse
run-10.csv,,,,,1.3,,1.0,0.0,checkpoint-02-25-reuse-10runs,25-reuse
run-01.csv,114.24324324324324,98.0,119.0,56.32666666666666,,0.04,0.0,5.0,checkpoint-02-high-quality-10runs,high-quality
run-02.csv,112.75700934579439,88.0,119.0,62.73255813953488,,0.045454545454545456,0.0,11.0,checkpoint-02-high-quality-10runs,high-quality
run-03.csv,112.51851851851852,90.0,119.0,63.41818181818182,,0.045454545454545456,0.0,11.0,checkpoint-02-high-quality-10runs,high-quality
run-04.csv,111.22222222222223,87.0,119.0,42.975,,0.044444444444444446,0.0,9.0,checkpoint-02-high-quality-10runs,high-quality
run-05.csv,112.4766355140187,71.0,119.0,66.86888888888889,,0.04666666666666667,0.0,15.0,checkpoint-02-high-quality-10runs,high-quality
run-06.csv,111.94642857142857,88.0,119.0,37.42325581395349,,0.045454545454545456,0.0,11.0,checkpoint-02-high-quality-10runs,high-quality
run-07.csv,113.55660377358491,88.0,119.0,52.895348837209305,,0.05454545454545456,0.0,11.0,checkpoint-02-high-quality-10runs,high-quality
run-08.csv,113.12380952380953,94.0,119.0,68.17272727272727,,0.042857142857142864,0.0,7.0,checkpoint-02-high-quality-10runs,high-quality
run-09.csv,112.86666666666666,92.0,119.0,48.11818181818182,,0.05,0.0,14.0,checkpoint-02-high-quality-10runs,high-quality
run-10.csv,110.62727272727273,88.0,119.0,54.26590909090908,,0.044444444444444446,0.0,9.0,checkpoint-02-high-quality-10runs,high-quality
run-01.csv,116.71296296296296,98.0,120.0,128.1288888888889,1.3411764705882352,0.042857142857142864,34.0,7.0,checkpoint-02-perlin-10runs,perlin
run-02.csv,116.67961165048544,89.0,120.0,127.79333333333335,1.2971428571428574,0.044444444444444446,35.0,9.0,checkpoint-02-perlin-10runs,perlin
run-03.csv,116.71428571428571,100.0,120.0,126.18222222222222,1.3088235294117647,0.042857142857142864,34.0,7.0,checkpoint-02-perlin-10runs,perlin
run-04.csv,116.5047619047619,91.0,120.0,109.9659090909091,1.295121951219512,0.05454545454545456,41.0,11.0,checkpoint-02-perlin-10runs,perlin
run-05.csv,116.40566037735849,94.0,120.0,99.97954545454546,1.2945945945945945,0.045454545454545456,37.0,11.0,checkpoint-02-perlin-10runs,perlin
run-06.csv,116.4954128440367,90.0,120.0,129.73636363636362,1.3250000000000002,0.045454545454545456,32.0,11.0,checkpoint-02-perlin-10runs,perlin
run-07.csv,116.21100917431193,91.0,120.0,129.14444444444445,1.3205128205128205,0.047619047619047616,39.0,21.0,checkpoint-02-perlin-10runs,perlin
run-08.csv,116.42592592592592,99.0,120.0,128.3111111111111,1.2885714285714285,0.044444444444444446,35.0,9.0,checkpoint-02-perlin-10runs,perlin
run-09.csv,115.8,95.0,120.0,118.2909090909091,1.3675675675675676,0.045454545454545456,37.0,11.0,checkpoint-02-perlin-10runs,perlin
run-10.csv,116.32075471698113,94.0,120.0,118.08181818181816,1.2794117647058822,0.045454545454545456,34.0,11.0,checkpoint-02-perlin-10runs,perlin
run-01.csv,104.72072072072072,86.0,119.0,38.49333333333333,,0.0,0.0,1.0,checkpoint-02-vd-3-10runs,vd-3
run-02.csv,95.91346153846153,84.0,112.0,42.404444444444444,,0.04666666666666667,0.0,15.0,checkpoint-02-vd-3-10runs,vd-3
run-03.csv,95.85840707964601,87.0,105.0,42.48444444444444,,0.06923076923076923,0.0,13.0,checkpoint-02-vd-3-10runs,vd-3
run-04.csv,96.03539823008849,82.0,120.0,44.14,,0.044444444444444446,0.0,9.0,checkpoint-02-vd-3-10runs,vd-3
run-05.csv,94.96296296296296,85.0,110.0,44.40222222222223,,0.044444444444444446,0.0,9.0,checkpoint-02-vd-3-10runs,vd-3
run-06.csv,96.33333333333333,84.0,120.0,42.44666666666667,,0.044444444444444446,0.0,9.0,checkpoint-02-vd-3-10runs,vd-3
run-07.csv,97.23008849557522,87.0,120.0,42.24888888888889,,0.05,0.0,8.0,checkpoint-02-vd-3-10runs,vd-3
run-08.csv,97.33944954128441,82.0,120.0,42.20888888888889,,0.05000000000000001,0.0,12.0,checkpoint-02-vd-3-10runs,vd-3
run-09.csv,115.60194174757281,89.0,120.0,32.04222222222222,,0.05,0.0,10.0,checkpoint-02-vd-3-10runs,vd-3
run-10.csv,118.73267326732673,114.0,120.0,33.53333333333333,,0.04615384615384616,0.0,13.0,checkpoint-02-vd-3-10runs,vd-3
run-01.csv,95.94805194805195,24.0,117.0,301.2170731707317,9.307317073170733,0.044444444444444446,41.0,9.0,checkpoint-03-0-reuse-10runs,0-reuse
run-02.csv,112.55384615384615,25.0,118.0,195.51282051282053,9.913157894736841,0.044444444444444446,38.0,9.0,checkpoint-03-0-reuse-10runs,0-reuse
run-03.csv,111.53333333333333,20.0,118.0,234.07692307692307,9.733333333333334,0.05384615384615385,39.0,13.0,checkpoint-03-0-reuse-10runs,0-reuse
run-04.csv,111.77272727272727,20.0,118.0,215.2794871794872,9.691666666666668,0.05333333333333334,36.0,15.0,checkpoint-03-0-reuse-10runs,0-reuse
run-05.csv,109.72463768115942,25.0,118.0,179.68974358974359,9.795,0.04,40.0,5.0,checkpoint-03-0-reuse-10runs,0-reuse
run-06.csv,107.24285714285715,25.0,117.0,243.56666666666663,9.223684210526315,0.04,38.0,5.0,checkpoint-03-0-reuse-10runs,0-reuse
run-07.csv,109.98484848484848,24.0,117.0,253.84871794871796,9.05135135135135,0.05,37.0,14.0,checkpoint-03-0-reuse-10runs,0-reuse
run-08.csv,111.08064516129032,22.0,118.0,189.58974358974362,9.834999999999999,0.04,40.0,5.0,checkpoint-03-0-reuse-10runs,0-reuse
run-09.csv,111.1311475409836,22.0,118.0,121.7974358974359,9.210526315789474,0.05000000000000001,38.0,6.0,checkpoint-03-0-reuse-10runs,0-reuse
run-10.csv,111.24193548387096,22.0,118.0,236.3421052631579,9.5,0.044444444444444446,40.0,9.0,checkpoint-03-0-reuse-10runs,0-reuse
run-01.csv,118.6082474226804,115.0,120.0,34.775555555555556,,0.04666666666666667,0.0,15.0,checkpoint-03-baseline-10runs,baseline
