# base_algorithm,wood
# population_size,25
# initial_mutation_rate,0.2
# max_iterations,300
# output_size,128
# generations_completed,300
# total_evaluations,7500
# runtime_s,231.473
# final_best_fitness,0.912175
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
38,950,29454.00,29.4540,0.911212,0.911212,0.900642,0.840325,0.015046,0.200000,0.958122,0.997475,0.999970,0.734436,0.806641
39,975,30219.00,30.2190,0.911212,0.911212,0.907346,0.882665,0.006429,0.200000,0.958122,0.997475,0.999970,0.734436,0.806641
40,1000,30981.00,30.9810,0.911409,0.911409,0.903309,0.879646,0.009648,0.200000,0.957667,0.997494,0.998311,0.740295,0.804443
41,1025,31747.00,31.7470,0.911409,0.911409,0.905616,0.892671,0.005555,0.200000,0.957667,0.997494,0.998311,0.740295,0.804443
42,1050,32526.00,32.5260,0.911409,0.911409,0.903440,0.877489,0.007742,0.200000,0.957667,0.997494,0.998311,0.740295,0.804443
43,1075,33338.00,33.3380,0.911409,0.911409,0.903658,0.875297,0.008674,0.200000,0.957667,0.997494,0.998311,0.740295,0.804443
44,1100,34108.00,34.1080,0.911922,0.911922,0.905038,0.867334,0.009294,0.200000,0.957726,0.997479,0.999751,0.739075,0.806091
45,1125,34880.00,34.8800,0.911922,0.911922,0.902775,0.879177,0.010038,0.200000,0.957726,0.997479,0.999751,0.739075,0.806091
46,1150,35668.00,35.6680,0.911922,0.911922,0.902704,0.879949,0.009869,0.200000,0.957726,0.997479,0.999751,0.739075,0.806091
47,1175,36434.00,36.4340,0.911922,0.911922,0.900311,0.868434,0.011033,0.200000,0.957726,0.997479,0.999751,0.739075,0.806091
48,1200,37198.00,37.1980,0.912009,0.912009,0.902005,0.869312,0.011875,0.200000,0.957934,0.997479,0.999702,0.738892,0.806824
49,1225,37956.00,37.9560,0.912009,0.912009,0.903656,0.887473,0.008866,0.200000,0.957934,0.997479,0.999702,0.738892,0.806824
50,1250,38722.00,38.7220,0.912018,0.912018,0.903164,0.874324,0.011957,0.200000,0.957827,0.997480,0.999598,0.739197,0.806824
51,1275,39486.00,39.4860,0.912024,0.912024,0.905722,0.880565,0.007187,0.200000,0.957798,0.997481,0.999608,0.739319,0.806702
52,1300,40246.00,40.2460,0.912024,0.912024,0.905098,0.879505,0.007621,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
53,1325,41015.00,41.0150,0.912024,0.912024,0.904996,0.892605,0.005698,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
54,1350,41781.00,41.7810,0.912024,0.912024,0.903183,0.865726,0.011956,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
55,1375,42552.00,42.5520,0.912024,0.912024,0.900906,0.878855,0.009156,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
56,1400,43374.00,43.3740,0.912024,0.912024,0.902923,0.871624,0.010429,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
57,1425,44146.00,44.1460,0.912024,0.912024,0.903905,0.869905,0.010190,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
58,1450,44921.00,44.9210,0.912024,0.912024,0.903883,0.885858,0.007054,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
59,1475,45763.00,45.7630,0.912024,0.912024,0.905969,0.882336,0.006796,0.200000,0.957813,0.997480,0.999613,0.739258,0.806763
60,1500,46521.00,46.5210,0.912045,0.912045,0.904440,0.879231,0.008915,0.200000,0.957815,0.997480,0.999654,0.739380,0.806641
61,1525,47292.00,47.2920,0.912045,0.912045,0.901637,0.875742,0.009538,0.200000,0.957815,0.997480,0.999654,0.739380,0.806641
62,1550,48063.00,48.0630,0.912045,0.912045,0.901365,0.865385,0.011911,0.200000,0.957815,0.997480,0.999654,0.739380,0.806641
63,1575,48832.00,48.8320,0.912045,0.912045,0.902225,0.867313,0.010337,0.200000,0.957815,0.997480,0.999654,0.739380,0.806641
64,1600,49596.00,49.5960,0.912080,0.912080,0.905665,0.889514,0.006677,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
65,1625,50367.00,50.3670,0.912080,0.912080,0.904508,0.884394,0.007865,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
66,1650,51139.00,51.1390,0.912080,0.912080,0.903434,0.867016,0.010005,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
67,1675,51913.00,51.9130,0.912080,0.912080,0.904505,0.877642,0.010023,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
68,1700,52688.00,52.6880,0.912080,0.912080,0.903357,0.885473,0.007337,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
69,1725,53451.00,53.4510,0.912080,0.912080,0.905965,0.876525,0.008202,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
70,1750,54213.00,54.2130,0.912080,0.912080,0.903203,0.886215,0.009488,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
71,1775,54984.00,54.9840,0.912080,0.912080,0.902547,0.863653,0.011747,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
72,1800,55756.00,55.7560,0.912080,0.912080,0.906310,0.887698,0.005494,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
73,1825,56520.00,56.5200,0.912080,0.912080,0.907758,0.894245,0.005084,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
74,1850,57281.00,57.2810,0.912080,0.912080,0.905718,0.882983,0.006837,0.200000,0.957818,0.997480,0.999639,0.739441,0.806824
75,1875,58053.00,58.0530,0.912080,0.912080,0.905513,0.877183,0.007509,0.220000,0.957818,0.997480,0.999639,0.739441,0.806824
76,1900,58823.00,58.8230,0.912080,0.912080,0.902975,0.882178,0.008178,0.242000,0.957818,0.997480,0.999639,0.739441,0.806824
77,1925,59599.00,59.5990,0.912080,0.912080,0.902280,0.877848,0.009361,0.266200,0.957818,0.997480,0.999639,0.739441,0.806824
78,1950,60358.00,60.3580,0.912080,0.912080,0.903103,0.863087,0.009084,0.292820,0.957818,0.997480,0.999639,0.739441,0.806824
79,1975,61136.00,61.1360,0.912080,0.912080,0.898281,0.869854,0.011227,0.322102,0.957818,0.997480,0.999639,0.739441,0.806824
80,2000,61892.00,61.8920,0.912080,0.912080,0.899710,0.849176,0.011977,0.354312,0.957818,0.997480,0.999639,0.739441,0.806824
81,2025,62662.00,62.6620,0.912080,0.912080,0.899019,0.865899,0.010039,0.389743,0.957818,0.997480,0.999639,0.739441,0.806824
82,2050,63423.00,63.4230,0.912080,0.912080,0.897422,0.866553,0.010925,0.428718,0.957818,0.997480,0.999639,0.739441,0.806824
83,2075,64221.00,64.2210,0.912080,0.912080,0.899271,0.878117,0.008828,0.471590,0.957818,0.997480,0.999639,0.739441,0.806824
84,2100,64989.00,64.9890,0.912080,0.912080,0.897043,0.875652,0.010539,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
85,2125,65756.00,65.7560,0.912080,0.912080,0.893202,0.872888,0.011578,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
86,2150,66518.00,66.5180,0.912080,0.912080,0.893557,0.846127,0.014468,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
87,2175,67286.00,67.2860,0.912080,0.912080,0.888997,0.864646,0.012938,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
88,2200,68062.00,68.0620,0.912080,0.912080,0.892349,0.856865,0.014380,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
89,2225,68820.00,68.8200,0.912080,0.912080,0.895219,0.865893,0.013108,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
90,2250,69585.00,69.5850,0.912080,0.912080,0.893002,0.872128,0.011320,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
91,2275,70346.00,70.3460,0.912080,0.912080,0.891293,0.862605,0.013190,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
92,2300,71111.00,71.1110,0.912080,0.912080,0.892017,0.854605,0.014802,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
93,2325,71893.00,71.8930,0.912080,0.912080,0.891711,0.863053,0.011778,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
94,2350,72652.00,72.6520,0.912080,0.912080,0.890370,0.861304,0.013288,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
95,2375,73426.00,73.4260,0.912080,0.912080,0.896747,0.868544,0.011782,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
96,2400,74198.00,74.1980,0.912080,0.912080,0.895245,0.867936,0.012294,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
97,2425,74964.00,74.9640,0.912080,0.912080,0.892953,0.861794,0.012380,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
98,2450,75751.00,75.7510,0.912080,0.912080,0.895199,0.861598,0.011788,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
99,2475,76520.00,76.5200,0.912080,0.912080,0.899140,0.877168,0.008502,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
100,2500,77292.00,77.2920,0.912080,0.912080,0.892358,0.857770,0.013250,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
101,2525,78057.00,78.0570,0.912080,0.912080,0.894456,0.854937,0.013998,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
102,2550,78836.00,78.8360,0.912080,0.912080,0.897113,0.870656,0.010660,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
103,2575,79607.00,79.6070,0.912080,0.912080,0.894588,0.860593,0.012505,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
104,2600,80370.00,80.3700,0.912080,0.912080,0.890448,0.849378,0.015814,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
105,2625,81132.00,81.1320,0.912080,0.912080,0.895862,0.858835,0.012720,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
106,2650,81891.00,81.8910,0.912080,0.912080,0.895166,0.844126,0.014846,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
107,2675,82662.00,82.6620,0.912080,0.912080,0.892056,0.848921,0.015122,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
108,2700,83429.00,83.4290,0.912080,0.912080,0.897874,0.875615,0.010286,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
109,2725,84221.00,84.2210,0.912080,0.912080,0.892330,0.868878,0.012420,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
110,2750,84988.00,84.9880,0.912080,0.912080,0.892340,0.865194,0.012155,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
