# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.35
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.866
# final_best_fitness,0.912050
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
38,570,18206.00,18.2060,0.877474,0.877474,0.860338,0.839798,0.013389,0.350000,0.967538,0.996478,0.999681,0.561218,0.804932
39,585,18672.00,18.6720,0.877474,0.877474,0.865520,0.841156,0.009016,0.350000,0.967538,0.996478,0.999681,0.561218,0.804932
40,600,19146.00,19.1460,0.877474,0.877474,0.859295,0.814007,0.014537,0.350000,0.967538,0.996478,0.999681,0.561218,0.804932
41,615,19618.00,19.6180,0.878555,0.878555,0.862925,0.835075,0.013227,0.350000,0.964032,0.996495,0.995196,0.577087,0.804932
42,630,20110.00,20.1100,0.885307,0.885307,0.870472,0.852441,0.008736,0.350000,0.972167,0.996636,0.998725,0.599243,0.803894
43,645,20586.00,20.5860,0.885307,0.885307,0.869702,0.843319,0.010803,0.350000,0.972167,0.996636,0.998725,0.599243,0.803894
44,660,21060.00,21.0600,0.885307,0.885307,0.873383,0.852545,0.008639,0.350000,0.972167,0.996636,0.998725,0.599243,0.803894
45,675,21535.00,21.5350,0.888758,0.888758,0.873614,0.847648,0.010592,0.350000,0.955431,0.996901,0.993574,0.637085,0.804932
46,690,22035.00,22.0350,0.888803,0.888803,0.876478,0.858266,0.009713,0.350000,0.963307,0.996781,0.987904,0.641418,0.804932
47,705,22505.00,22.5050,0.890129,0.890129,0.882157,0.866503,0.007984,0.350000,0.957948,0.997000,0.995430,0.638733,0.804932
48,720,22981.00,22.9810,0.890256,0.890256,0.881482,0.858850,0.008827,0.350000,0.965196,0.996853,0.992191,0.639709,0.804932
49,735,23455.00,23.4550,0.890256,0.890256,0.882913,0.862401,0.008166,0.350000,0.965196,0.996853,0.992191,0.639709,0.804932
50,750,23930.00,23.9300,0.890256,0.890256,0.881312,0.866042,0.007507,0.350000,0.965196,0.996853,0.992191,0.639709,0.804932
51,765,24405.00,24.4050,0.891882,0.891882,0.880915,0.857851,0.010229,0.350000,0.964952,0.996899,0.997897,0.638000,0.804932
52,780,24880.00,24.8800,0.891882,0.891882,0.881360,0.851401,0.010083,0.350000,0.964952,0.996899,0.997897,0.638000,0.804932
53,795,25363.00,25.3630,0.891882,0.891882,0.883328,0.866705,0.008593,0.350000,0.964952,0.996899,0.997897,0.638000,0.804932
54,810,25831.00,25.8310,0.893275,0.893275,0.884646,0.870614,0.006385,0.350000,0.963725,0.996928,0.999810,0.642517,0.804932
55,825,26305.00,26.3050,0.894619,0.894619,0.879727,0.857161,0.012297,0.350000,0.963622,0.996978,0.998791,0.651062,0.804932
56,840,26779.00,26.7790,0.894619,0.894619,0.881484,0.849742,0.012871,0.350000,0.963622,0.996978,0.998791,0.651062,0.804932
57,855,27252.00,27.2520,0.894619,0.894619,0.887998,0.882219,0.003687,0.350000,0.963622,0.996978,0.998791,0.651062,0.804932
58,870,27725.00,27.7250,0.895955,0.895955,0.879530,0.859477,0.011510,0.350000,0.963729,0.997123,0.994147,0.665222,0.805542
59,885,28205.00,28.2050,0.899062,0.899062,0.881995,0.845811,0.014883,0.350000,0.964787,0.997125,0.994680,0.679077,0.805481
60,900,28702.00,28.7020,0.899773,0.899773,0.892065,0.875065,0.007248,0.350000,0.963828,0.997266,0.992047,0.687622,0.805786
61,915,29175.00,29.1750,0.900515,0.900515,0.892546,0.883724,0.005464,0.350000,0.963622,0.997189,0.997986,0.681702,0.805054
62,930,29641.00,29.6410,0.902754,0.902754,0.892566,0.868562,0.009659,0.350000,0.960966,0.997249,0.997352,0.696045,0.804932
63,945,30117.00,30.1170,0.904333,0.904333,0.892255,0.866926,0.011804,0.350000,0.962572,0.997295,0.995488,0.704590,0.806763
64,960,30603.00,30.6030,0.904333,0.904333,0.888356,0.849978,0.015162,0.350000,0.962572,0.997295,0.995488,0.704590,0.806763
65,975,31075.00,31.0750,0.904943,0.904943,0.895327,0.878077,0.009357,0.350000,0.962840,0.997277,0.989240,0.718567,0.806519
66,990,31547.00,31.5470,0.906487,0.906487,0.897099,0.885450,0.006409,0.350000,0.961300,0.997282,0.985555,0.734619,0.805542
67,1005,32027.00,32.0270,0.906487,0.906487,0.898142,0.887384,0.006258,0.350000,0.961300,0.997282,0.985555,0.734619,0.805542
68,1020,32499.00,32.4990,0.906487,0.906487,0.897107,0.882474,0.008325,0.350000,0.961300,0.997282,0.985555,0.734619,0.805542
69,1035,32972.00,32.9720,0.906487,0.906487,0.897158,0.884633,0.006367,0.350000,0.961300,0.997282,0.985555,0.734619,0.805542
70,1050,33448.00,33.4480,0.906487,0.906487,0.896917,0.868745,0.009324,0.350000,0.961300,0.997282,0.985555,0.734619,0.805542
71,1065,33931.00,33.9310,0.907016,0.907016,0.899590,0.887548,0.007025,0.350000,0.963127,0.997272,0.991207,0.726196,0.805298
72,1080,34404.00,34.4040,0.907016,0.907016,0.893470,0.875686,0.009567,0.350000,0.963127,0.997272,0.991207,0.726196,0.805298
73,1095,34873.00,34.8730,0.907016,0.907016,0.896183,0.875132,0.008471,0.350000,0.963127,0.997272,0.991207,0.726196,0.805298
74,1110,35347.00,35.3470,0.908636,0.908636,0.896066,0.861298,0.014622,0.350000,0.964960,0.997268,0.998347,0.719788,0.806152
75,1125,35825.00,35.8250,0.908636,0.908636,0.899096,0.890323,0.006203,0.350000,0.964960,0.997268,0.998347,0.719788,0.806152
76,1140,36296.00,36.2960,0.908636,0.908636,0.896491,0.879587,0.009283,0.350000,0.964960,0.997268,0.998347,0.719788,0.806152
77,1155,36772.00,36.7720,0.908636,0.908636,0.895775,0.866074,0.011769,0.350000,0.964960,0.997268,0.998347,0.719788,0.806152
78,1170,37249.00,37.2490,0.909031,0.909031,0.899792,0.880149,0.009152,0.350000,0.959719,0.997354,0.997655,0.727112,0.805786
79,1185,37720.00,37.7200,0.910155,0.910155,0.899055,0.876572,0.008804,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
80,1200,38194.00,38.1940,0.910155,0.910155,0.901856,0.886560,0.006651,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
81,1215,38671.00,38.6710,0.910155,0.910155,0.898642,0.867147,0.012014,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
82,1230,39150.00,39.1500,0.910155,0.910155,0.895234,0.874701,0.010831,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
83,1245,39649.00,39.6490,0.910155,0.910155,0.903320,0.891132,0.005042,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
84,1260,40126.00,40.1260,0.910155,0.910155,0.900777,0.881128,0.008344,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
