# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.05
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.024
# final_best_fitness,0.913545
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
38,570,17978.00,17.9780,0.872278,0.872278,0.870803,0.863399,0.002322,0.050000,0.964521,0.996274,0.999956,0.537170,0.804932
39,585,18442.00,18.4420,0.872278,0.872278,0.871627,0.870555,0.000672,0.050000,0.964521,0.996274,0.999956,0.537170,0.804932
40,600,18921.00,18.9210,0.872278,0.872278,0.871569,0.869255,0.001027,0.050000,0.964521,0.996274,0.999956,0.537170,0.804932
41,615,19382.00,19.3820,0.872332,0.872332,0.870059,0.860219,0.003675,0.050000,0.963941,0.996269,0.999281,0.539063,0.804932
42,630,19850.00,19.8500,0.872708,0.872708,0.871434,0.865218,0.001861,0.050000,0.964523,0.996272,0.999162,0.540710,0.804932
43,645,20319.00,20.3190,0.872708,0.872708,0.871242,0.865062,0.002174,0.050000,0.964523,0.996272,0.999162,0.540710,0.804932
44,660,20790.00,20.7900,0.872709,0.872709,0.870543,0.852994,0.004916,0.050000,0.964521,0.996271,0.999723,0.539734,0.804932
45,675,21264.00,21.2640,0.872709,0.872709,0.871455,0.865216,0.002154,0.050000,0.964521,0.996271,0.999723,0.539734,0.804932
46,690,21737.00,21.7370,0.872709,0.872709,0.871685,0.869038,0.001357,0.050000,0.964521,0.996271,0.999723,0.539734,0.804932
47,705,22208.00,22.2080,0.872771,0.872771,0.871338,0.858332,0.003583,0.050000,0.964304,0.996270,0.999892,0.539917,0.804932
48,720,22681.00,22.6810,0.872771,0.872771,0.872388,0.870299,0.000639,0.050000,0.964304,0.996270,0.999892,0.539917,0.804932
49,735,23153.00,23.1530,0.872773,0.872773,0.872263,0.870084,0.000695,0.050000,0.964308,0.996271,0.999894,0.539917,0.804932
