# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,72.255
# final_best_fitness,0.865452
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
38,570,18016.00,18.0160,0.865425,0.865425,0.854919,0.821191,0.012430,0.241577,0.949823,0.995571,0.999986,0.514404,0.804932
39,585,18486.00,18.4860,0.865452,0.865452,0.854580,0.812340,0.013931,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
40,600,18958.00,18.9580,0.865452,0.865452,0.855263,0.812486,0.016085,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
41,615,19433.00,19.4330,0.865452,0.865452,0.855380,0.801564,0.016160,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
42,630,19908.00,19.9080,0.865452,0.865452,0.859541,0.837380,0.009487,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
43,645,20384.00,20.3840,0.865452,0.865452,0.861219,0.837800,0.006829,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
44,660,20861.00,20.8610,0.865452,0.865452,0.856910,0.841902,0.008713,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
45,675,21361.00,21.3610,0.865452,0.865452,0.852559,0.818268,0.016026,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
46,690,21839.00,21.8390,0.865452,0.865452,0.858571,0.837410,0.008835,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
47,705,22310.00,22.3100,0.865452,0.865452,0.855387,0.835784,0.009912,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
48,720,22786.00,22.7860,0.865452,0.865452,0.850606,0.833585,0.010642,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
49,735,23259.00,23.2590,0.865452,0.865452,0.857086,0.835352,0.009287,0.241577,0.950009,0.995569,0.999984,0.514404,0.804932
50,750,23735.00,23.7350,0.865452,0.865452,0.850925,0.821638,0.013403,0.265734,0.950009,0.995569,0.999984,0.514404,0.804932
51,765,24206.00,24.2060,0.865452,0.865452,0.858845,0.835806,0.009042,0.292308,0.950009,0.995569,0.999984,0.514404,0.804932
52,780,24680.00,24.6800,0.865452,0.865452,0.856016,0.825458,0.012445,0.321538,0.950009,0.995569,0.999984,0.514404,0.804932
53,795,25151.00,25.1510,0.865452,0.865452,0.856336,0.820138,0.013348,0.353692,0.950009,0.995569,0.999984,0.514404,0.804932
54,810,25628.00,25.6280,0.865452,0.865452,0.849362,0.821138,0.014649,0.389061,0.950009,0.995569,0.999984,0.514404,0.804932
55,825,26098.00,26.0980,0.865452,0.865452,0.853887,0.816879,0.012632,0.427968,0.950009,0.995569,0.999984,0.514404,0.804932
56,840,26576.00,26.5760,0.865452,0.865452,0.836467,0.798654,0.020576,0.470764,0.950009,0.995569,0.999984,0.514404,0.804932
57,855,27053.00,27.0530,0.865452,0.865452,0.853063,0.833738,0.011573,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
58,870,27527.00,27.5270,0.865452,0.865452,0.847729,0.824595,0.012829,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
59,885,27999.00,27.9990,0.865452,0.865452,0.850887,0.810242,0.015213,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
60,900,28470.00,28.4700,0.865452,0.865452,0.842229,0.775486,0.025842,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
61,915,28950.00,28.9500,0.865452,0.865452,0.847670,0.819247,0.014796,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
62,930,29418.00,29.4180,0.865452,0.865452,0.844390,0.805154,0.016767,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
63,945,29892.00,29.8920,0.865452,0.865452,0.843875,0.772640,0.026066,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
64,960,30364.00,30.3640,0.865452,0.865452,0.846520,0.800432,0.020313,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
65,975,30840.00,30.8400,0.865452,0.865452,0.845569,0.821444,0.014199,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
66,990,31313.00,31.3130,0.865452,0.865452,0.849990,0.831211,0.010805,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
67,1005,31792.00,31.7920,0.865452,0.865452,0.854298,0.830375,0.010077,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
68,1020,32275.00,32.2750,0.865452,0.865452,0.845405,0.816454,0.014276,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
69,1035,32751.00,32.7510,0.865452,0.865452,0.856264,0.820006,0.011917,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
70,1050,33230.00,33.2300,0.865452,0.865452,0.844474,0.803858,0.017353,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
71,1065,33703.00,33.7030,0.865452,0.865452,0.842126,0.787640,0.021494,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
72,1080,34179.00,34.1790,0.865452,0.865452,0.848649,0.795440,0.019638,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
73,1095,34652.00,34.6520,0.865452,0.865452,0.844507,0.766909,0.023299,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
74,1110,35127.00,35.1270,0.865452,0.865452,0.852807,0.821940,0.012360,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
75,1125,35603.00,35.6030,0.865452,0.865452,0.853052,0.828502,0.012432,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
76,1140,36087.00,36.0870,0.865452,0.865452,0.841808,0.763979,0.029639,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
77,1155,36563.00,36.5630,0.865452,0.865452,0.850901,0.817572,0.014454,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
78,1170,37037.00,37.0370,0.865452,0.865452,0.845589,0.812877,0.015693,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
79,1185,37508.00,37.5080,0.865452,0.865452,0.852574,0.803405,0.016443,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
80,1200,37984.00,37.9840,0.865452,0.865452,0.849361,0.811607,0.016593,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
