# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,256
# generations_completed,150
# total_evaluations,2250
# runtime_s,78.454
# final_best_fitness,0.900307
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
38,570,19840.00,19.8400,0.875031,0.875031,0.871355,0.867604,0.002102,0.150000,0.967044,0.996493,0.995696,0.556335,0.804932
39,585,20361.00,20.3610,0.876163,0.876163,0.872240,0.861695,0.003151,0.150000,0.968879,0.996481,0.998342,0.556000,0.804932
40,600,20881.00,20.8810,0.876163,0.876163,0.871428,0.859153,0.005311,0.150000,0.968879,0.996481,0.998342,0.556000,0.804932
41,615,21400.00,21.4000,0.876773,0.876773,0.870531,0.850973,0.007715,0.150000,0.964555,0.996518,0.998991,0.561127,0.804932
42,630,21924.00,21.9240,0.876773,0.876773,0.873544,0.852641,0.005776,0.150000,0.964555,0.996518,0.998991,0.561127,0.804932
43,645,22445.00,22.4450,0.878479,0.878479,0.873836,0.850346,0.006932,0.150000,0.967043,0.996563,0.999921,0.566132,0.804932
44,660,22960.00,22.9600,0.879616,0.879616,0.875034,0.862866,0.003898,0.150000,0.968401,0.996585,0.998644,0.573013,0.804932
45,675,23482.00,23.4820,0.880577,0.880577,0.876193,0.857517,0.005343,0.150000,0.970740,0.996607,0.999175,0.575119,0.804932
46,690,24008.00,24.0080,0.884015,0.884015,0.876099,0.861610,0.006313,0.150000,0.953302,0.996809,0.999504,0.604660,0.804932
47,705,24530.00,24.5300,0.884202,0.884202,0.880190,0.869726,0.003672,0.150000,0.969179,0.996712,0.999666,0.593475,0.804932
48,720,25051.00,25.0510,0.884285,0.884285,0.876571,0.846433,0.009708,0.150000,0.955682,0.996830,0.998959,0.605164,0.804932
49,735,25574.00,25.5740,0.884285,0.884285,0.877222,0.850035,0.009032,0.150000,0.955682,0.996830,0.998959,0.605164,0.804932
50,750,26101.00,26.1010,0.885478,0.885478,0.881512,0.869929,0.004111,0.150000,0.972378,0.996777,0.996482,0.602982,0.804932
51,765,26627.00,26.6270,0.885478,0.885478,0.880451,0.866625,0.005707,0.150000,0.972378,0.996777,0.996482,0.602982,0.804932
52,780,27156.00,27.1560,0.886934,0.886934,0.881394,0.855838,0.008062,0.150000,0.966635,0.996840,0.999510,0.609222,0.804932
53,795,27680.00,27.6800,0.886934,0.886934,0.881135,0.863395,0.005993,0.150000,0.966635,0.996840,0.999510,0.609222,0.804932
54,810,28207.00,28.2070,0.887246,0.887246,0.883629,0.878869,0.002456,0.150000,0.969577,0.996858,0.998811,0.609787,0.804932
55,825,28728.00,28.7280,0.888108,0.888108,0.882771,0.870848,0.005414,0.150000,0.969189,0.996856,0.999993,0.612320,0.804932
56,840,29253.00,29.2530,0.889470,0.889470,0.886447,0.883386,0.001519,0.150000,0.955793,0.997006,0.998967,0.630859,0.804932
57,855,29774.00,29.7740,0.889470,0.889470,0.881162,0.843407,0.011614,0.150000,0.955793,0.997006,0.998967,0.630859,0.804932
58,870,30294.00,30.2940,0.889765,0.889765,0.887163,0.878559,0.003142,0.150000,0.958411,0.997007,0.999865,0.628799,0.804932
59,885,30822.00,30.8220,0.891299,0.891299,0.884463,0.823748,0.016379,0.150000,0.955753,0.997076,0.999218,0.639542,0.804932
60,900,31343.00,31.3430,0.891299,0.891299,0.884570,0.871622,0.006137,0.150000,0.955753,0.997076,0.999218,0.639542,0.804932
61,915,31871.00,31.8710,0.891299,0.891299,0.886161,0.871627,0.005964,0.150000,0.955753,0.997076,0.999218,0.639542,0.804932
62,930,32388.00,32.3880,0.891719,0.891719,0.888302,0.882209,0.002892,0.150000,0.955623,0.997059,0.999908,0.640549,0.804932
63,945,32903.00,32.9030,0.891841,0.891841,0.889231,0.884010,0.002558,0.150000,0.955762,0.997053,0.998568,0.643402,0.804932
64,960,33419.00,33.4190,0.892120,0.892120,0.885957,0.857804,0.009860,0.150000,0.956612,0.997058,0.999878,0.641861,0.804932
65,975,33942.00,33.9420,0.892127,0.892127,0.884952,0.855760,0.008836,0.150000,0.955871,0.997050,0.998746,0.644440,0.804932
66,990,34456.00,34.4560,0.892561,0.892561,0.886103,0.861022,0.007769,0.150000,0.955153,0.997102,0.998878,0.646881,0.804932
